"Timestamp","1. Gender 性別","2. Age 年齡","3. Are you a local or non-local student? 您是本地生還是非本地生？","4. Nationality 國籍","5. University 大學","6. Are you an undergraduate or postgraduate student? 您是本科生還是研究生？","7. Year of Study 修學年","1. How often do you have a drink containing alcohol? 您飲用含有酒精飲料的頻率為？","2. When drinking, how many ""standard drinks"" containing alcohol do you typically consume (in one occasion)? 您一次通常飲用多少杯含酒精的「標準杯」？","3. How often do you have six or more ""standard drinks"" on one occasion? (Use previous question as reference for servings) 您一次飲用「標準杯」六杯以上的頻率為？（請以上一題的說明作為參考）","4. What kind of alcoholic beverage do you typically consume? 您通常飲用何種酒精飲料？","5. On what occasion do you usually consume alcohol beverage? 您通常在什麼場合飲用酒精飲料？","6. Based on the text below, what is your favorite cuisine? (Please read the description) 根據下列選項，您最喜歡的食物是？（請閱讀說明）","7. On average, how often do you drink alcoholic beverages before examinations or other important academic events? 平均來說，您在考試或重要學術活動之前飲用酒精飲料的頻率為？","1. Cumulative GPA (out of 4.00) 累計成績平均積點","2. Have you joined any student clubs / organisations / student union throughout your university years? 您在大學期間有無參加任何學生社團、組織或學生會？","3. Have you served as an Executive Committee for a student club / organisation / student union throughout your university years? 您在大學期間有無擔任過學生社團、組織或學生會的執行委員？","4. If any, how many academic achievements have you attained throughout your university years? 您在大學期間總共取得過多少個學術成就？","5. If any, how many professional examinations have you passed throughout your university years? 您在大學期間通過多少個專業考試？",""
"2021/08/03 12:28:18 AM GMT+8","Male 男性","21","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","15","Less than once per month 少於每月","Whiskey 威士忌","Family gatherings 家庭聚會","Italian 義式","Never (0%) 從來不會","3.6","Yes 有","No 沒有","1","0",""
"2021/08/03 12:52:44 AM GMT+8","Male 男性","21","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","3","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.71","Yes 有","Yes 有","7","0",""
"2021/08/03 12:52:54 AM GMT+8","Male 男性","20","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","2-4 times a month 每月二至四次","10","Monthly 每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Occasionally (20%) 偶爾","3.27","No 沒有","No 沒有","0","0",""
"2021/08/03 12:53:22 AM GMT+8","Female 女性","21","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","2-4 times a month 每月二至四次","2","Never 從來不會","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Occasionally (20%) 偶爾","3.42","Yes 有","Yes 有","0","0",""
"2021/08/03 12:53:29 AM GMT+8","Prefer not to say 不方便透露","20","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","12","Less than once per month 少於每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.4","Yes 有","Yes 有","0","0",""
"2021/08/03 12:53:42 AM GMT+8","Female 女性","21","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","2","Never 從來不會","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Occasionally (20%) 偶爾","3.4","Yes 有","Yes 有","4","0",""
"2021/08/03 9:52:49 AM GMT+8","Male 男性","19","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","Monthly or less 少於每月","3","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Occasionally (20%) 偶爾","3.5","Yes 有","Yes 有","2","0",""
"2021/08/03 11:39:48 PM GMT+8","Female 女性","22","Local student 本地生","China","City University of Hong Kong (CityU) 香港城市大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","5","Monthly 每月","Whiskey 威士忌","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Chinese 中式","Sometimes (40%) 有時","3.1","No 沒有","No 沒有","0","1",""
"2021/08/05 1:17:34 PM GMT+8","Male 男性","22","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","2","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Japanese 日式","Never (0%) 從來不會","3.3","Yes 有","Yes 有","2","3",""
"2021/08/05 9:33:40 PM GMT+8","Male 男性","19","Non-local student 非本地生","Indonesia","The Hong Kong University of Science and Technology (HKUST) 香港科技大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","3 ","Less than once per month 少於每月","baileys","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Chinese 中式","Never (0%) 從來不會","3.3","Yes 有","No 沒有","0","0",""
"2021/08/05 9:37:44 PM GMT+8","Female 女性","21","Non-local student 非本地生","Indonesia","The Hong Kong University of Science and Technology (HKUST) 香港科技大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","5","Monthly 每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Sometimes (40%) 有時","3.3","Yes 有","Yes 有","1","0",""
"2021/08/05 9:39:45 PM GMT+8","Female 女性","20","Local student 本地生","Hong Kong","The Hang Seng University of Hong Kong","Undergraduate student 本科生","3","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","3.38","No 沒有","No 沒有","1","0",""
"2021/08/05 9:50:09 PM GMT+8","Female 女性","19","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","Monthly or less 少於每月","7","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3","Yes 有","Yes 有","0","0",""
"2021/08/05 9:59:42 PM GMT+8","Female 女性","21","Non-local student 非本地生","Indonesia","The University of Hong Kong (HKU) 香港大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","1","Never 從來不會","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Occasionally (20%) 偶爾","3.33","No 沒有","No 沒有","2","0",""
"2021/08/05 10:14:04 PM GMT+8","Male 男性","20","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","1","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.1","Yes 有","Yes 有","2","1",""
"2021/08/06 1:19:55 AM GMT+8","Female 女性","20","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","4","Less than once per month 少於每月","Spirits 烈酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.3","Yes 有","No 沒有","0","0",""
"2021/08/06 8:29:51 AM GMT+8","Female 女性","21","Non-local student 非本地生","United States","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","1","Never 從來不會","Vodka 伏特加","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.3","Yes 有","Yes 有","0","0",""
"2021/08/06 8:43:55 AM GMT+8","Male 男性","21","Non-local student 非本地生","Korea, South","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","2-4 times a month 每月二至四次","5","Monthly 每月","Soju 燒酒","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.6","No 沒有","No 沒有","0","0",""
"2021/08/06 3:47:05 PM GMT+8","Male 男性","21","Non-local student 非本地生","Indonesia","The University of Hong Kong (HKU) 香港大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","12","Never 從來不會","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.6","Yes 有","Yes 有","1","0",""
"2021/08/06 10:41:40 PM GMT+8","Male 男性","19","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","2","Less than once per month 少於每月","Soju 燒酒","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Chinese 中式","Never (0%) 從來不會","3.37","Yes 有","Yes 有","0","0",""
"2021/08/06 10:49:12 PM GMT+8","Female 女性","19","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","1.5","Never 從來不會","Wine","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會","Italian 義式","Never (0%) 從來不會","3.6","Yes 有","Yes 有","1","0",""
"2021/08/07 12:42:22 AM GMT+8","Male 男性","21","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","1","Less than once per month 少於每月","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","3.83","Yes 有","Yes 有","20","0",""
"2021/08/07 12:46:25 AM GMT+8","Female 女性","19","Non-local student 非本地生","Indonesia","The Hong Kong Polytechnic University (PolyU) 香港理工大學","Undergraduate student 本科生","2","2-4 times a month 每月二至四次","1","Never 從來不會","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.61","Yes 有","Yes 有","2","0",""
"2021/08/07 1:13:46 AM GMT+8","Male 男性","24","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","2","Never 從來不會","Whiskey 威士忌","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.2","Yes 有","Yes 有","3","0",""
"2021/08/07 10:28:52 AM GMT+8","Male 男性","20","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","5","Less than once per month 少於每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.3","No 沒有","No 沒有","2","0",""
"2021/08/07 10:50:03 AM GMT+8","Female 女性","20","Non-local student 非本地生","Indonesia","The Hong Kong University of Science and Technology (HKUST) 香港科技大學","Undergraduate student 本科生","2","Monthly or less 少於每月","2","Less than once per month 少於每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Chinese 中式","Occasionally (20%) 偶爾","3.3","Yes 有","Yes 有","1","0",""
"2021/08/07 11:09:04 AM GMT+8","Male 男性","21","Local student 本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","1","Less than once per month 少於每月","Beer 啤酒","Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Occasionally (20%) 偶爾","3.46","Yes 有","Yes 有","2","0",""
"2021/08/07 11:26:53 AM GMT+8","Male 男性","20","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","1","Never 從來不會","Soju 燒酒","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.8","Yes 有","Yes 有","5","0",""
"2021/08/07 11:33:20 AM GMT+8","Male 男性","21","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","3.78","No 沒有","No 沒有","6","0",""
"2021/08/07 12:10:04 PM GMT+8","Female 女性","21","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","12","Less than once per month 少於每月","Whiskey 威士忌","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.79","Yes 有","Yes 有","25","1 ",""
"2021/08/07 12:11:53 PM GMT+8","Male 男性","21","Non-local student 非本地生","United Kingdom","UCL","Undergraduate student 本科生","3","2-3 times a week 每週二至三次","3","Monthly 每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Sometimes (40%) 有時","3.6","No 沒有","No 沒有","2","0",""
"2021/08/07 12:23:21 PM GMT+8","Male 男性","22","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","2","Less than once per month 少於每月","Gin","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Sometimes (40%) 有時","3.3","Yes 有","No 沒有","8","1",""
"2021/08/07 12:39:06 PM GMT+8","Male 男性","21","Non-local student 非本地生","Indonesia","The Hong Kong University of Science and Technology (HKUST) 香港科技大學","Undergraduate student 本科生","3","2-3 times a week 每週二至三次","2","Less than once per month 少於每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.0","Yes 有","Yes 有","0","0",""
"2021/08/07 1:08:02 PM GMT+8","Male 男性","20","Non-local student 非本地生","Indonesia","The University of Hong Kong (HKU) 香港大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","3","Never 從來不會","Beer 啤酒","Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.72","Yes 有","No 沒有","10","0",""
"2021/08/07 1:46:44 PM GMT+8","Male 男性","21","Non-local student 非本地生","Malaysia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）","Chinese 中式","Never (0%) 從來不會","0","Yes 有","Yes 有","0","0",""
"2021/08/07 5:43:35 PM GMT+8","Male 男性","20","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","3.37","No 沒有","No 沒有","4","0",""
"2021/08/08 6:42:05 PM GMT+8","Female 女性","20","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","1","Never 從來不會","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Japanese 日式","Never (0%) 從來不會","3.478","Yes 有","No 沒有","1","0",""
"2021/08/09 9:43:52 PM GMT+8","Female 女性","21","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","0","Yes 有","No 沒有","0","0",""
